Publisher Name,Publisher Registry Id,Publisher Type,Number of Activities,Publishing Humanitarian,Using Humanitarian Attribute,Appeal or Emergency Details,Clusters,Humanitarian Score
Giro555 (Stichting Samenwerkende Hulporganisaties),giro555,International NGO,6,100,100.0,0.0,0.0,50.0
GiveDirectly,givedirectly,International NGO,1,100,100.0,0.0,0.0,50.0
Global Action Nepal,gan,National NGO,0,0,0.0,0.0,0.0,0.0
Global Alliance for Livestock Veterinary Medicines,galvmed,International NGO,0,0,0.0,0.0,0.0,0.0
Global Alliance for TB Drug Development,tb-a,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Global Anaesthesia Development Partnerships,gadp,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Global Antibiotic Research and Development Partnership,gardp,Public Private Partnership,0,0,0.0,0.0,0.0,0.0
Global Canopy,globalcanopy,International NGO,0,0,0.0,0.0,0.0,0.0
Global Disability Innovation Hub,gdihub,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Global Focus,globaltfokus,National NGO,0,0,0.0,0.0,0.0,0.0
Global Fund for Community Foundations,gfcf,Foundation,0,0,0.0,0.0,0.0,0.0
Global Fund to End Modern Slavery,gfems,National NGO,0,0,0.0,0.0,0.0,0.0
Global Green Growth Institute (GGGI),gggi,Multilateral,0,0,0.0,0.0,0.0,0.0
Global Impact Investing Network,giin,National NGO,0,0,0.0,0.0,0.0,0.0
Global Innovation Fund,gif,International NGO,0,0,0.0,0.0,0.0,0.0
Global Integrity,gi,International NGO,0,0,0.0,0.0,0.0,0.0
Global Network of People Living with HIV (GNP+),gnpplus,International NGO,0,0,0.0,0.0,0.0,0.0
Global Network of Sex Work Projects (NSWP),nswp,International NGO,2,100,100.0,0.0,0.0,50.0
Global Partnership for Education,gpe,Multilateral,0,0,0.0,0.0,0.0,0.0
Global Rights Compliance Foundation,grc2018,Foundation,0,0,0.0,0.0,0.0,0.0
Global Shea Alliance,globalshea,Regional NGO,1,100,100.0,0.0,0.0,50.0
Global Water Partnership,gwp,International NGO,0,0,0.0,0.0,0.0,0.0
Global Witness,globalwitness,International NGO,0,0,0.0,0.0,0.0,0.0
GlobalGiving.org,globalgiving,International NGO,0,0,0.0,0.0,0.0,0.0
GOAL,goal,International NGO,0,0,0.0,0.0,0.0,0.0
GOGLA - Global Off-Grid Lighting Association,gogla,Private Sector,0,0,0.0,0.0,0.0,0.0
GoodWeave International,goodweave_intl,International NGO,1,100,100.0,0.0,0.0,50.0
Goree Institute,gorin,National NGO,0,0,0.0,0.0,0.0,0.0
Gorongosa Restoration Project,grp,Public Private Partnership,0,0,0.0,0.0,0.0,0.0
GPPAC Foundation,gppac,International NGO,0,0,0.0,0.0,0.0,0.0
Grand Bargain Test,wrgb,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Grand Challenges Canada,hgc,National NGO,2,100,100.0,0.0,0.0,50.0
Greater Virunga Transboundary Collaboration,gvtc,Government,0,0,0.0,0.0,0.0,0.0
Greece - Ministry of Foreign Affairs,greece_mfa,Government,0,0,0.0,0.0,0.0,0.0
Ground Truth Solutions,ground-truth-solutions,International NGO,4,100,100.0,0.0,0.0,50.0
Groupe Pivot Santé Population,gpsp-org,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Grow Asia,growasia,Regional NGO,0,0,0.0,0.0,0.0,0.0
Grow Movement,growmovement_admin,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
GSMA Foundation,gsma_foundation,Foundation,3,100,0.0,0.0,0.0,25.0
Gulu University,guluuni,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Guttmacher Institute,guttmacher,International NGO,0,0,0.0,0.0,0.0,0.0
Hagar International UK,hagar_uk,International NGO,0,0,0.0,0.0,0.0,0.0
Haiti Hospital Appeal,hha,International NGO,0,0,0.0,0.0,0.0,0.0
"Hala Systems, Inc.",hala_systems,Private Sector,0,0,0.0,0.0,0.0,0.0
Hand in Hand International,handinhand,International NGO,0,0,0.0,0.0,0.0,0.0
Handicap International Belgique,hib,National NGO,0,0,0.0,0.0,0.0,0.0
Handicap International Federation,hi_fed,International NGO,0,0,0.0,0.0,0.0,0.0
Handicap International UK,hiuk,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
"Harvard Global Research and Support Services, Inc.",harvard_global,International NGO,0,0,0.0,0.0,0.0,0.0
Health Development Initiative,hdi,National NGO,0,0,0.0,0.0,0.0,0.0
Health Insurance Fund,hif,International NGO,0,0,0.0,0.0,0.0,0.0
Health Poverty Action,hpa,International NGO,0,0,0.0,0.0,0.0,0.0
HealthNet TPO,healthnet,International NGO,0,0,0.0,0.0,0.0,0.0
HealthProm,hp_12,International NGO,0,0,0.0,0.0,0.0,0.0
Healthright International-Kenya,hri,National NGO,0,0,0.0,0.0,0.0,0.0
Healthy Entrepreneurs Foundation,hefoundation,Foundation,0,0,0.0,0.0,0.0,0.0
Heartland Alliance International,ha-i,International NGO,1,100,100.0,0.0,0.0,50.0
Heifer International South Africa,hsa,National NGO,0,0,0.0,0.0,0.0,0.0
Heifer Nederland,heifernederland,National NGO,0,0,0.0,0.0,0.0,0.0
HelpAge International,helpage_international,International NGO,302,100,100.0,0.0,0.0,50.0
HelpAge International UK,ageintl,National NGO,50,100,100.0,0.0,0.0,50.0
Helvetas Swiss Intercooperation,hsi,International NGO,0,0,0.0,0.0,0.0,0.0
Hiber for Electronic Media,7iberdotcom,Private Sector,0,0,0.0,0.0,0.0,0.0
Higher Population Council,hpc,Other Public Sector,0,0,0.0,0.0,0.0,0.0
HiiL innovating Justice,hiil_mfa,Foundation,0,0,0.0,0.0,0.0,0.0
Hilfswerk Austria Zimbabwe,hwa-zm,International NGO,0,0,0.0,0.0,0.0,0.0
Hivos,stichting_hivos,International NGO,0,0,0.0,0.0,0.0,0.0
HM Revenue and Customs,cbu_hmrc,Government,1,100,100.0,0.0,0.0,50.0
HM Treasury,hmtfitb,Government,0,0,0.0,0.0,0.0,0.0
Homeless International,hi,International NGO,0,0,0.0,0.0,0.0,0.0
Hope and Homes for Children,hhc,International NGO,0,0,0.0,0.0,0.0,0.0
Hope for Children,hfc,International NGO,0,0,0.0,0.0,0.0,0.0
Horizons for Green Development,horizons,National NGO,0,0,0.0,0.0,0.0,0.0
Hospice Africa Ltd,hauk,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
HRWG Indonesia,hrwg_indonesia,National NGO,0,0,0.0,0.0,0.0,0.0
HTSPE,htspe,Private Sector,0,0,0.0,0.0,0.0,0.0
Huairou Commission,hc2022,International NGO,6,100,100.0,0.0,0.0,50.0
Human Relief Foundation,hrf,International NGO,2,100,100.0,0.0,50.0,62.5
Humanitarian Quality Assurance Initiative,hqai,International NGO,0,0,0.0,0.0,0.0,0.0
I Choose Life Africa,ke-ngc-3372,National NGO,0,0,0.0,0.0,0.0,0.0
Ibrahimia Media Center,imc-2021,National NGO,0,0,0.0,0.0,0.0,0.0
ICA:UK,icauk,National NGO,0,0,0.0,0.0,0.0,0.0
ICCO Cooperation,icco-cooperation,International NGO,91,100,0.0,0.0,0.0,25.0
ICF Consulting Services Ltd,icf,Private Sector,0,0,0.0,0.0,0.0,0.0
ICLEI Colombia,iclei,National NGO,0,0,0.0,0.0,0.0,0.0
ICS,ics,International NGO,0,0,0.0,0.0,0.0,0.0
IDB Invest,idbinvest,Multilateral,0,0,0.0,0.0,0.0,0.0
iDE,ide,International NGO,0,0,0.0,0.0,0.0,0.0
IDEO.org,ideo_org,International NGO,1,100,100.0,0.0,0.0,50.0
IDH Investment Management B.V.,idh_im,Private Sector,0,0,0.0,0.0,0.0,0.0
IDH THE SUSTAINABLE TRADE INITIATIVE,idh-ghana,International NGO,0,0,0.0,0.0,0.0,0.0
"IDH, the Sustainable Trade Initiative",idh,International NGO,0,0,0.0,0.0,0.0,0.0
IDinsight,idinsight,International NGO,0,0,0.0,0.0,0.0,0.0
IDOM INGENIERIA,idom_mx,Private Sector,0,0,0.0,0.0,0.0,0.0
IFOAM - Organics International,ifoam,International NGO,0,0,0.0,0.0,0.0,0.0
Iftiin Foundation,iffoundation12,National NGO,1,100,100.0,0.0,0.0,50.0
IGD Benin,igd_benin,National NGO,0,0,0.0,0.0,0.0,0.0
IHE Delft Institute for Water Education,ihedelft,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Iles de Paix,idp,National NGO,0,0,0.0,0.0,0.0,0.0
ILGA Asia,ilgaasia,Regional NGO,0,0,0.0,0.0,0.0,0.0
ILGA World,ilgaworld,International NGO,0,0,0.0,0.0,0.0,0.0
IMA World Health,us-imawh,International NGO,1,100,100.0,0.0,0.0,50.0
IMC WORLDWIDE,imcw_admin,Private Sector,0,0,0.0,0.0,0.0,0.0
IMD Moçambique,imdmozambique,National NGO,0,0,0.0,0.0,0.0,0.0
Imfact Working Capital Solutions Limited,imfact2022,Private Sector,0,0,0.0,0.0,0.0,0.0
IMPACT Initiatives,impact_initiatives,International NGO,8,100,100.0,0.0,12.5,53.125
ImpactAssets Inc.,ia,International NGO,1,100,100.0,0.0,0.0,50.0
"Imperial College of Science, Technology and Medicine",imperial,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Impunity Watch,iw_admin,International NGO,0,0,0.0,0.0,0.0,0.0
Independent Medico-Legal Unit,imlu,National NGO,0,0,0.0,0.0,0.0,0.0
Index Initiative Foundation,iif,Foundation,0,0,0.0,0.0,0.0,0.0
Indigo Trust,indtrust,Foundation,0,0,0.0,0.0,0.0,0.0
Infrastructure Credit Guarantee Company Limited,infracredit,Private Sector,0,0,0.0,0.0,0.0,0.0
inHive,inhive,International NGO,0,0,0.0,0.0,0.0,0.0
Iniciativa Climatica de Mexico,icm_mx,National NGO,0,0,0.0,0.0,0.0,0.0
Initiative Sankofa d'Afrique de l'Ouest,isdao,International NGO,0,0,0.0,0.0,0.0,0.0
Innovate UK KTN,ktn,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Innovations for Poverty Action,ipa_,International NGO,0,0,0.0,0.0,0.0,0.0
Innovex Uganda limited,in,Private Sector,1,100,100.0,0.0,0.0,50.0
Instiglio,instiglio,International NGO,0,0,0.0,0.0,0.0,0.0
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,ifsi_isvi,National NGO,0,0,0.0,0.0,0.0,0.0
"Institut National de l'Eau, Benin",ine_benin,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Institute for Clinical Effectiveness and Health Policy,iecs-2024,International NGO,0,0,0.0,0.0,0.0,0.0
Institute for Community Based Sociotherapy,ic-bs_24,International NGO,1,100,100.0,0.0,0.0,50.0
Institute for Family Health,khf_ifh,National NGO,0,0,0.0,0.0,0.0,0.0
Institute for Policy Research and Advocacy (ELSAM),elsam,National NGO,0,0,0.0,0.0,0.0,0.0
Institute for Security Studies,issafrica,International NGO,0,0,0.0,0.0,0.0,0.0
Institute for War & Peace Reporting,iwpr,International NGO,12,100,100.0,0.0,0.0,50.0
Institute of Development Studies,ids,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
"Institute of Psychiatry, Rawalpindi Medical University",iop-rmu,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
Institute of Tropical Medicine,itm,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Instituto BVRio,bvrio,International NGO,0,0,0.0,0.0,0.0,0.0
Integrated Water Resources Management Programme,iwrm,Government,0,0,0.0,0.0,0.0,0.0
Integrity Action,integrity_action,International NGO,0,0,0.0,0.0,0.0,0.0
Integrity Research and Consultancy Ltd,integrity,Private Sector,0,0,0.0,0.0,0.0,0.0
Inter Islamic Network for Water Resources Development and Management,inwrdam,Multilateral,0,0,0.0,0.0,0.0,0.0
Inter-American Development Bank,iadb,Multilateral,31,100,0.0,0.0,0.0,25.0
Inter-American Foundation,iaf,Government,0,0,0.0,0.0,0.0,0.0
Interact Worldwide,iww_publish,International NGO,0,0,0.0,0.0,0.0,0.0
InterAction,interaction,International NGO,12,100,100.0,0.0,8.333333333333332,52.083333333333336
interburns,interburns,International NGO,0,0,0.0,0.0,0.0,0.0
InterClimate Network,icn,International NGO,0,0,0.0,0.0,0.0,0.0
International Aids Vaccine Initiative (IAVI),iavi,International NGO,0,0,0.0,0.0,0.0,0.0
International Alert,international-alert,International NGO,0,0,0.0,0.0,0.0,0.0
International Budget Partnership,ibp,International NGO,0,0,0.0,0.0,0.0,0.0
International Bureau of Fiscal Documentation (IBFD),ibfd,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
International Campaign Women´s Right to Safe Abortion,icwrsa,National NGO,0,0,0.0,0.0,0.0,0.0
International Center for Not-for-Profit Law,icnl_org,International NGO,0,0,0.0,0.0,0.0,0.0
International Center for Transitional Justice,ictj,International NGO,0,0,0.0,0.0,0.0,0.0
International Centre for Antimicrobial Resistance Solutions,icars,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
"International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)",icddrb,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
International Centre for Migration Policy Development,icmpd,Multilateral,9,100,100.0,0.0,0.0,50.0
International Centre of Insect Physiology and Ecology (icipe),icipe,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,Government,8,100,0.0,0.0,0.0,25.0
International Commission on Missing Persons,icmp,Other Public Sector,0,0,0.0,0.0,0.0,0.0
International Committee of the Red Cross (ICRC),icrc,Multilateral,410,100,100.0,0.0,0.0,50.0
International Council of Voluntary Agencies,icva,International NGO,1,100,100.0,0.0,0.0,50.0
International Crisis Group,crisisgroup,International NGO,0,0,0.0,0.0,0.0,0.0
International Development Law Organization (IDLO),idlo,Multilateral,0,0,0.0,0.0,0.0,0.0
INTERNATIONAL DISABILITY ALLIANCE,ida,International NGO,0,0,0.0,0.0,0.0,0.0
International Federation of Accountants,ifac,International NGO,0,0,0.0,0.0,0.0,0.0
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs,International NGO,0,0,0.0,0.0,0.0,0.0
International Fertilizer Development Center,ifdc-us,International NGO,0,0,0.0,0.0,0.0,0.0
International Finance Corporation,ifcwbg,Multilateral,0,0,0.0,0.0,0.0,0.0
International Food Policy Research Institute,ifpri,International NGO,0,0,0.0,0.0,0.0,0.0
International Foundation for Electoral Systems,ifes,International NGO,6,100,100.0,0.0,0.0,50.0
International Fund for Agricultural Development (IFAD),ifad,Multilateral,0,0,0.0,0.0,0.0,0.0
International IDEA,idea,Multilateral,0,0,0.0,0.0,0.0,0.0
International Indigenous Women Forum,fimi_iiwf_2019,Foundation,0,0,0.0,0.0,0.0,0.0
International Initiative for Impact Evaluation,3ie,International NGO,0,0,0.0,0.0,0.0,0.0
International Institute for Environment and Development,iied,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
International Labour Organization (ILO),ilo,Multilateral,186,100,80.64516129032258,0.0,0.0,45.16129032258064
International Media Support,ims,International NGO,2,100,100.0,0.0,0.0,50.0
International Medical Corps UK,imc_uk,International NGO,3,100,100.0,0.0,0.0,50.0
International Monetary Fund,imf,Multilateral,0,0,0.0,0.0,0.0,0.0
International Nepal Fellowship Nepal,infnepal,National NGO,0,0,0.0,0.0,0.0,0.0
International Network for Advancing Science and Policy,inasp,International NGO,0,0,0.0,0.0,0.0,0.0
International Network for Bamboo and Rattan (INBAR),inbar,Multilateral,2,100,100.0,0.0,0.0,50.0
International Network of People who Use Drugs (INPUD),inpud_admin,International NGO,8,100,100.0,0.0,0.0,50.0
International NGO Safety Orgnisation,inso,International NGO,4,100,100.0,0.0,0.0,50.0
International Organization for Migration (IOM),iom,Multilateral,2338,100,100.0,50.08554319931565,0.0,62.52138579982891
International Peace Information Service,ipis,National NGO,0,0,0.0,0.0,0.0,0.0
International Planned Parenthood Federation,ippf,International NGO,0,0,0.0,0.0,0.0,0.0
International Potato Center,cip,Multilateral,0,0,0.0,0.0,0.0,0.0
International Primary Care Respiratory Group,ipcrg,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
International Procurement Agency,ipa,Private Sector,0,0,0.0,0.0,0.0,0.0
International Rescue Committee UK,irc_uk,International NGO,136,100,100.0,3.6764705882352944,0.0,50.919117647058826
International Service,unais,International NGO,0,0,0.0,0.0,0.0,0.0
International Trade Centre (ITC),itc,International NGO,1,100,0.0,0.0,0.0,25.0
International Treatment Preparedness Coalition (ITPC),itpc,International NGO,5,100,100.0,0.0,0.0,50.0
International Union for Conservation of Nature and Natural Resources,iucn,Other Public Sector,0,0,0.0,0.0,0.0,0.0
International Women's Development Agency,iwda,International NGO,0,0,0.0,0.0,0.0,0.0
International Women's Rights Action Watch Asia Pacific,iwrawasiapacific,International NGO,0,0,0.0,0.0,0.0,0.0
International Youth Alliance for Family Planning,iyafp,International NGO,0,0,0.0,0.0,0.0,0.0
Internews Europe,ieu,International NGO,0,0,0.0,0.0,0.0,0.0
Interpeace,interpeace,International NGO,0,0,0.0,0.0,0.0,0.0
INTERSOS Onlus,intersos_main,International NGO,4,100,100.0,25.0,0.0,56.25
INTOSAI Development Initiative,idi,International NGO,0,0,0.0,0.0,0.0,0.0
INTRAC,intrac,International NGO,0,0,0.0,0.0,0.0,0.0
IntraHealth International,intrahealth,International NGO,0,0,0.0,0.0,0.0,0.0
InvestInternational,investinternational,Private Sector,0,0,0.0,0.0,0.0,0.0
IOD PARC,iodparc,Private Sector,0,0,0.0,0.0,0.0,0.0
iPartner India,ip-india,International NGO,0,0,0.0,0.0,0.0,0.0
Ipas,ipas,International NGO,1,100,100.0,0.0,0.0,50.0
IPE Global Limited,ipeglobal,Private Sector,0,0,0.0,0.0,0.0,0.0
Iraq Foundation,iraq_foundation,International NGO,0,0,0.0,0.0,0.0,0.0
IRC,irc,International NGO,0,0,0.0,0.0,0.0,0.0
Ireland - Department of Foreign Affairs,irishaid,Government,1978,100,0.0,0.0,0.0,25.0
IREX (International Research and Exchange Board),irex,International NGO,0,0,0.0,0.0,0.0,0.0
"Iringa Development of Youth, Disabled and Children Care",idydc,National NGO,4,100,100.0,0.0,0.0,50.0
Irise International,irise_int,International NGO,0,0,0.0,0.0,0.0,0.0
Irrawaddy Policy Exchange,ipe,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
ISEAL,iseal,International NGO,0,0,0.0,0.0,0.0,0.0
Islamic Development Bank,isdb,Multilateral,0,0,0.0,0.0,0.0,0.0
Islamic Relief Worldwide,irw,International NGO,2,100,100.0,0.0,0.0,50.0
IT for Change,itforchange,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Itad,itad,Private Sector,0,0,0.0,0.0,0.0,0.0
ITECO - Centre de formation pour le développement,iteco,National NGO,0,0,0.0,0.0,0.0,0.0
IUCN Nederlands Comité,iucn_nl,International NGO,0,0,0.0,0.0,0.0,0.0
Japan International Cooperation Agency (JICA),jica,Government,2,100,0.0,0.0,0.0,25.0
Jeevika Trust,jeevika_trust,International NGO,0,0,0.0,0.0,0.0,0.0
Jinja district union of persons with disabilities,jidu2021,Regional NGO,1,100,100.0,0.0,0.0,50.0
Johns Hopkins University,gi-jhu,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Join For Water,protos,National NGO,0,0,0.0,0.0,0.0,0.0
Jordan Open Source Association,josa,National NGO,0,0,0.0,0.0,0.0,0.0
Jordan River Foundation,jrf,National NGO,0,0,0.0,0.0,0.0,0.0
Jordan River Foundation,jrf_2022,National NGO,1,100,100.0,0.0,0.0,50.0
Joshua Orphan and Community Care,jocc_uk,International NGO,0,0,0.0,0.0,0.0,0.0
JoWomenomics,jowomenomics,National NGO,0,0,0.0,0.0,0.0,0.0
Just Associates,jass,International NGO,0,0,0.0,0.0,0.0,0.0
Justice & Peace Netherlands,jp-nl,International NGO,0,0,0.0,0.0,0.0,0.0
Justice For All Prison Fellowship Ethiopia,jfa-pfe,National NGO,0,0,0.0,0.0,0.0,0.0
Kadaster International,kad,Government,0,0,0.0,0.0,0.0,0.0
Karuna Mission Social Solidarity - KMSS,kmss,National NGO,0,0,0.0,0.0,0.0,0.0
Karuna Trust,karuna,International NGO,0,0,0.0,0.0,0.0,0.0
Kathmandu Medical College Public Limited,kmc,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Keele University,keele-university,"Academic, Training and Research",2,100,100.0,0.0,0.0,50.0
Kemitraan Bagi Pembaruan Tata Pemerintahan,kemitraan,National NGO,0,0,0.0,0.0,0.0,0.0
Kenya Community Development Foundation,kcdf,Foundation,0,0,0.0,0.0,0.0,0.0
Kenya National Commission on Human Rights,knchr,Government,0,0,0.0,0.0,0.0,0.0
Kenya Private Sector Alliance,kepsa,Private Sector,0,0,0.0,0.0,0.0,0.0
Kepa ry,kepa,National NGO,0,0,0.0,0.0,0.0,0.0
Kerk in Actie,kerk_in_actie,International NGO,4,100,100.0,0.0,0.0,50.0
Kesho Kenya,kesho_kenya,National NGO,0,0,0.0,0.0,0.0,0.0
kidasha,kidasha,International NGO,0,0,0.0,0.0,0.0,0.0
King Hussein Foundation,khf,National NGO,0,0,0.0,0.0,0.0,0.0
King Salman Humanitarian Aid and Relief Centre,ksrelief291,Government,1606,100,100.0,0.37359900373599003,0.0,50.093399750934
King's College London,kingscollegelondon,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Kisumu Medical and Education Trust,kmet,National NGO,0,0,0.0,0.0,0.0,0.0
KITUO CHA SHERIA,kituo,National NGO,0,0,0.0,0.0,0.0,0.0
KIYO,kiyo,International NGO,0,0,0.0,0.0,0.0,0.0
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,National NGO,0,0,0.0,0.0,0.0,0.0
Koninklijk Nederlands Meteorologisch Instituut,knmi,Government,0,0,0.0,0.0,0.0,0.0
KPMG Advisory Limited (Tanzania),kpmgea,Private Sector,0,0,0.0,0.0,0.0,0.0
KPMG LLP,kpmgllp,Private Sector,0,0,0.0,0.0,0.0,0.0
Kvinna till Kvinna,ktk,International NGO,0,0,0.0,0.0,0.0,0.0
KwaAfrica,kwaafrica,International NGO,0,0,0.0,0.0,0.0,0.0
Kwame Nkrumah University of Science and Technology,knust,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Kyiv School of Economics and Management,kse,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
LAMB Health Care Foundation,lhcf,National NGO,0,0,0.0,0.0,0.0,0.0
Land Equity International,lei,Private Sector,1,100,100.0,0.0,0.0,50.0
Landell Mills,landell-mills,Private Sector,0,0,0.0,0.0,0.0,0.0
Larive International,larive,Private Sector,0,0,0.0,0.0,0.0,0.0
Laterite B.V.,laterite_bv,Private Sector,0,0,0.0,0.0,0.0,0.0
Laïcité et Humanisme en Afrique Centrale (LHAC),lhac,National NGO,0,0,0.0,0.0,0.0,0.0
Le Monde selon les femmes asbl,mondefemmes,National NGO,0,0,0.0,0.0,0.0,0.0
LEAD International,lead_international,International NGO,0,0,0.0,0.0,0.0,0.0
Leaders International,lifed_admin,International NGO,0,0,0.0,0.0,0.0,0.0
Leaders of Tomorrow,sqf,Private Sector,0,0,0.0,0.0,0.0,0.0
Learning for Life,learningforlife,International NGO,0,0,0.0,0.0,0.0,0.0
Legal Action Worldwide,law,International NGO,0,0,0.0,0.0,0.0,0.0
Lemann Foundation,lemann,Foundation,0,0,0.0,0.0,0.0,0.0
Leonard Cheshire Disability,lcd_admin,International NGO,0,0,0.0,0.0,0.0,0.0
Lepra,lepra,International NGO,0,0,0.0,0.0,0.0,0.0
Liga Internacional de Mujeres por la Paz y la Libertad - Limpal Colombia,limpal-colombia,National NGO,0,0,0.0,0.0,0.0,0.0
Light Castle Partners,lcp,Private Sector,1,100,100.0,0.0,0.0,50.0
Light For The World Belgium,lftw-be,National NGO,0,0,0.0,0.0,0.0,0.0
Light for the World International,lftw-int,International NGO,6,100,100.0,0.0,0.0,50.0
Link Community Development International,lcdi_admin,International NGO,1,100,100.0,0.0,0.0,50.0
Link Community Development Scotland,lcds,International NGO,0,0,0.0,0.0,0.0,0.0
Linking Pin Africa Ltd,lpa,Private Sector,0,0,0.0,0.0,0.0,0.0
"Lithuania, Ministry of Foreign Affairs",lithuania_mfa,Government,0,0,0.0,0.0,0.0,0.0
Lively Minds,livelyminds,International NGO,0,0,0.0,0.0,0.0,0.0
Liverpool School of Tropical Medicine,lstm,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Living Earth Foundation,livingearth12,International NGO,1,100,0.0,0.0,0.0,25.0
living peace institute,lpi,National NGO,1,100,100.0,0.0,0.0,50.0
LIWA programme trust,liwa-admin,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Local Development and Small Projects Support,ldsps,National NGO,0,0,0.0,0.0,0.0,0.0
London Business School,lbs,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
London School of Economics and Political Science,lse,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
London School of Hygiene and Tropical Medicine,lshtm,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
Loughborough University,lboro,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
Louvain Coopération,lc,National NGO,0,0,0.0,0.0,0.0,0.0
LTS International Limited,lts,Private Sector,0,0,0.0,0.0,0.0,0.0
Luminate Foundation Inc.,luminate,Foundation,0,0,0.0,0.0,0.0,0.0
LVCT Health,lvct,National NGO,0,0,0.0,0.0,0.0,0.0
M&C Saatchi,mcs_new,Private Sector,0,0,0.0,0.0,0.0,0.0
Maastricht School of Management,msm-ipd,Foundation,0,0,0.0,0.0,0.0,0.0
MADE in Europe,mie-1134415,International NGO,0,0,0.0,0.0,0.0,0.0
MAG,mag,International NGO,0,0,0.0,0.0,0.0,0.0
Magariro,magariro,National NGO,0,0,0.0,0.0,0.0,0.0
"Mahila Sarvangeen Utkarsh Mandal, Pune, India",masumpune_87,National NGO,0,0,0.0,0.0,0.0,0.0
Mainline,mainline,Foundation,0,0,0.0,0.0,0.0,0.0
Makerere University,maksph,"Academic, Training and Research",1,100,100.0,100.0,0.0,75.0
Malaria Consortium,malariaconsortium,International NGO,0,0,0.0,0.0,0.0,0.0
Mama Cash,mamac,Foundation,0,0,0.0,0.0,0.0,0.0
MAMTA - Health Institute for Mother and Child,mamta_himc,National NGO,0,0,0.0,0.0,0.0,0.0
Mango Tree Property Management LTD,mangotree,Private Sector,0,0,0.0,0.0,0.0,0.0
MannionDaniels,manniondaniels,Private Sector,0,0,0.0,0.0,0.0,0.0
MapAction,mapaction,International NGO,7,100,100.0,0.0,0.0,50.0
Marsa Sexual Health Center,marsa_welead,Regional NGO,1,100,100.0,0.0,0.0,50.0
marysmeals,marysmeals,International NGO,2,100,100.0,0.0,0.0,50.0
Mastercard Foundation,mastercard-foundation,Foundation,0,0,0.0,0.0,0.0,0.0
Max Foundation,max-foundation,Foundation,0,0,0.0,0.0,0.0,0.0
Maxwell Stamp PLC,mstamp,Private Sector,0,0,0.0,0.0,0.0,0.0
McKinsey & Company,mck,Private Sector,0,0,0.0,0.0,0.0,0.0
McKinsey Development Partners,mdp,Private Sector,0,0,0.0,0.0,0.0,0.0
MDF Global,mdf,Foundation,0,0,0.0,0.0,0.0,0.0
MedAccess Guarantee Limited,medaccess,Private Sector,2,100,100.0,0.0,0.0,50.0
Medair,medair,International NGO,1,100,100.0,0.0,0.0,50.0
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,medecins,National NGO,0,0,0.0,0.0,0.0,0.0
Medecins du Monde France,mdm-fr,International NGO,2,100,100.0,0.0,50.0,62.5
Media Development Investment Fund,mdif,International NGO,0,0,0.0,0.0,0.0,0.0
Media Foundation for West Africa,mfwa,Regional NGO,0,0,0.0,0.0,0.0,0.0
